DATA	CAMINHO	"QTD GERAL
 LINHAS"	"LINHAS
SCRIPLETS"	"LINHAS
TAGLIB"	"LINHAS
HTML"	"LINHAS
SCRIPLETS
COMENTADAS"
2014-11-14 09:48:01	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-11-14 09:48:01	web/src/main/webapp/WEB-INF/jsp/layout.jsp	199	0	4	174	21
2014-11-13 09:50:44	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-11-13 09:50:44	web/src/main/webapp/WEB-INF/jsp/layout.jsp	209	0	4	184	21
2014-11-12 14:08:01	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	51	0	2	44	5
2014-11-12 13:08:07	web/src/main/webapp/WEB-INF/jsp/layout.jsp	196	0	4	171	21
2014-11-12 13:08:07	web/src/main/webapp/WEB-INF/jsp/widget-layout.jsp	70	0	3	46	21
2014-11-12 12:57:14	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	50	0	2	43	5
2014-11-12 12:34:18	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	50	0	2	43	5
2014-11-12 12:34:18	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	80	0	3	74	3
2014-11-12 12:30:24	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	36	0	3	28	5
2014-11-12 12:30:24	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	94	0	3	88	3
2014-11-11 10:03:55	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	32	0	0	27	5
2014-11-11 10:03:55	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	97	0	4	90	3
2014-11-10 14:33:17	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	128	0	3	117	8
2014-11-10 13:40:21	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	299	0	5	268	26
2014-11-04 07:08:18	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-11-03 14:13:07	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	67	0	2	43	22
2014-11-03 14:13:07	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap.jsp	121	0	2	97	22
2014-11-03 12:53:26	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	67	0	2	43	22
2014-11-03 12:53:26	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap.jsp	121	0	2	97	22
2014-11-03 12:03:00	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap.jsp	121	0	2	97	22
2014-11-03 11:44:45	web/src/main/webapp/WEB-INF/jsp/includes/experiment-header.jsp	168	0	3	161	4
2014-11-03 11:44:45	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	142	0	3	131	8
2014-11-03 11:44:45	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-11-03 10:54:09	web/src/main/webapp/WEB-INF/jsp/includes/experiment-header.jsp	168	0	3	161	4
2014-11-03 10:54:09	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	142	0	3	131	8
2014-11-03 10:54:09	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-11-03 10:22:29	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	129	0	10	98	21
2014-11-03 10:22:29	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	163	0	4	135	24
2014-11-03 09:50:52	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	129	0	10	98	21
2014-11-03 08:41:36	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	120	0	10	89	21
2014-10-31 07:34:37	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	163	0	4	135	24
2014-10-30 05:52:37	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	72	0	2	49	21
2014-10-29 07:41:28	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	72	0	2	49	21
2014-10-27 11:06:04	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	299	0	5	268	26
2014-10-27 11:06:04	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	169	0	4	140	25
2014-10-27 11:06:04	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	140	0	3	130	7
2014-10-21 13:28:09	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-10-21 12:46:09	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-10-21 09:59:06	web/src/main/webapp/WEB-INF/jsp/includes/react.jsp	12	0	0	10	2
2014-10-21 09:59:06	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	325	0	5	294	26
2014-10-21 09:59:06	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	176	0	3	166	7
2014-10-21 09:59:06	web/src/main/webapp/WEB-INF/jsp/includes/react.jsp	12	0	0	10	2
2014-10-20 12:34:23	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	187	0	2	176	9
2014-10-17 13:15:31	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	162	0	3	134	25
2014-10-10 13:47:35	web/src/main/webapp/WEB-INF/jsp/baseline-experiments.jsp	99	0	2	76	21
2014-10-10 13:28:19	web/src/main/webapp/WEB-INF/jsp/includes/experiment-header.jsp	167	0	3	161	3
2014-10-10 13:06:07	web/src/main/webapp/WEB-INF/jsp/fast-qc-template.jsp	65	6	6	52	1
2014-10-10 13:06:07	web/src/main/webapp/WEB-INF/jsp/includes/experiment-header.jsp	158	0	3	153	2
2014-10-08 14:31:32	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	185	0	2	173	10
2014-10-06 09:43:11	web/src/main/webapp/WEB-INF/jsp/heatmap-widget.jsp	69	0	6	63	0
2014-10-03 12:31:18	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	66	0	2	32	32
2014-10-03 10:22:23	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	185	0	2	173	10
2014-10-02 12:13:21	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	336	0	4	304	28
2014-10-02 11:52:51	web/src/main/webapp/WEB-INF/jsp/baseline-experiments.jsp	99	0	2	76	21
2014-09-23 08:41:08	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-09-23 05:48:57	web/src/main/webapp/WEB-INF/jsp/heatmap-widget.jsp	69	0	6	63	0
2014-09-23 05:48:57	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	185	0	2	174	9
2014-09-23 05:48:57	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	185	0	2	174	9
2014-09-22 12:10:12	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	174	0	2	169	3
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	120	0	10	89	21
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	34	0	5	28	1
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	67	0	2	43	22
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/includes/flot.jsp	11	0	0	10	1
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	174	0	2	169	3
2014-09-22 12:07:26	web/src/main/webapp/WEB-INF/jsp/includes/transcript-breakdown-popup.jsp	16	0	0	16	0
2014-09-22 12:05:25	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	158	0	1	155	2
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	120	0	10	89	21
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	34	0	5	28	1
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	67	0	2	43	22
